date,forecast_demand,Spare_parts
2019-01-13,2.778089366346188,Air filter checkup
2019-01-20,1.419223578405044,Air filter checkup
2019-01-27,2.0439514817380937,Air filter checkup
2019-02-03,2.043714266095123,Air filter checkup
2019-02-10,2.30494912419614,Air filter checkup
2019-02-17,3.193284495292679,Air filter checkup
2019-02-24,2.7914701165483877,Air filter checkup
2019-03-03,2.3113698704220025,Air filter checkup
2019-03-10,1.9340773460106142,Air filter checkup
2019-03-17,2.2833337575862354,Air filter checkup
2019-03-24,1.6594277915698705,Air filter checkup
2019-03-31,2.4779848741341777,Air filter checkup
2019-01-13,4.4107384729990455,Chain overhaul
2019-01-20,7.0812950853650225,Chain overhaul
2019-01-27,6.155818507833956,Chain overhaul
2019-02-03,4.082024350950504,Chain overhaul
2019-02-10,5.073499600121104,Chain overhaul
2019-02-17,7.079384514280349,Chain overhaul
2019-02-24,7.088997069090116,Chain overhaul
2019-03-03,7.540064293837556,Chain overhaul
2019-03-10,5.781314994577721,Chain overhaul
2019-03-17,2.7027589048312883,Chain overhaul
2019-03-24,8.265207651134919,Chain overhaul
2019-03-31,9.821905863391564,Chain overhaul
2019-01-13,3.1486865989001735,Chain sprocket
2019-01-20,5.74699618081971,Chain sprocket
2019-01-27,9.48679126818924,Chain sprocket
2019-02-03,5.590981672580962,Chain sprocket
2019-02-10,4.301664402042453,Chain sprocket
2019-02-17,4.914763657934066,Chain sprocket
2019-02-24,6.173257476503253,Chain sprocket
2019-03-03,8.039392915839747,Chain sprocket
2019-03-10,8.941747543346642,Chain sprocket
2019-03-17,3.2077790652533578,Chain sprocket
2019-03-24,5.297207621082023,Chain sprocket
2019-03-31,6.215402243946018,Chain sprocket
2019-01-13,1.8897904080484613,Clutch assembly
2019-01-20,1.2648943288295436,Clutch assembly
2019-01-27,4.359217887626497,Clutch assembly
2019-02-03,3.185892733226308,Clutch assembly
2019-02-10,1.8456931940143058,Clutch assembly
2019-02-17,3.6906838462198035,Clutch assembly
2019-02-24,1.639644294535585,Clutch assembly
2019-03-03,4.229322295186964,Clutch assembly
2019-03-10,3.3750921092938304,Clutch assembly
2019-03-17,0.49938809541871837,Clutch assembly
2019-03-24,3.57574538146313,Clutch assembly
2019-03-31,3.517646186189781,Clutch assembly
2019-01-13,3.70896033959065,Clutch cable
2019-01-20,4.046511004586258,Clutch cable
2019-01-27,4.006650308955793,Clutch cable
2019-02-03,5.762411035889176,Clutch cable
2019-02-10,2.473093849725916,Clutch cable
2019-02-17,5.574483366645928,Clutch cable
2019-02-24,2.7547011327825857,Clutch cable
2019-03-03,5.082845841442463,Clutch cable
2019-03-10,5.800813997534749,Clutch cable
2019-03-17,3.233670298294153,Clutch cable
2019-03-24,3.5029194938140096,Clutch cable
2019-03-31,3.328201928954676,Clutch cable
2019-01-13,2.2451069118601032,Clutch cover gasket
2019-01-20,2.1459446103067767,Clutch cover gasket
2019-01-27,3.772380639985095,Clutch cover gasket
2019-02-03,3.594165803531621,Clutch cover gasket
2019-02-10,1.5557123487415678,Clutch cover gasket
2019-02-17,2.895776648967783,Clutch cover gasket
2019-02-24,2.4564889498143225,Clutch cover gasket
2019-03-03,4.268265061730955,Clutch cover gasket
2019-03-10,4.073934783884746,Clutch cover gasket
2019-03-17,1.111135014895169,Clutch cover gasket
2019-03-24,2.9341031980250953,Clutch cover gasket
2019-03-31,2.283102050349588,Clutch cover gasket
2019-01-13,1.8350802896051164,Clutch overhual
2019-01-20,3.1088371809611868,Clutch overhual
2019-01-27,3.7952668366590636,Clutch overhual
2019-02-03,3.305317092810996,Clutch overhual
2019-02-10,2.3396490499764457,Clutch overhual
2019-02-17,3.0059620507552918,Clutch overhual
2019-02-24,3.557644570010985,Clutch overhual
2019-03-03,6.353629901912233,Clutch overhual
2019-03-10,2.601820439538225,Clutch overhual
2019-03-17,2.0975541027595512,Clutch overhual
2019-03-24,2.937109077307013,Clutch overhual
2019-03-31,2.5387990135828864,Clutch overhual
2019-01-13,2.4960027210518705,Labour
2019-01-20,2.156367026390868,Labour
2019-01-27,2.6040746408898805,Labour
2019-02-03,4.610942852061826,Labour
2019-02-10,1.9740540210463458,Labour
2019-02-17,3.1483941228987113,Labour
2019-02-24,2.2175515182338614,Labour
2019-03-03,2.273511763881894,Labour
2019-03-10,2.353126798692136,Labour
2019-03-17,4.278724760899102,Labour
2019-03-24,3.4706893716937035,Labour
2019-03-31,2.984388174987622,Labour
2019-01-13,10.747107392324024,Spark plug
2019-01-20,9.276479161738306,Spark plug
2019-01-27,10.895319720614475,Spark plug
2019-02-03,12.423914758027855,Spark plug
2019-02-10,7.528268565396305,Spark plug
2019-02-17,9.756475278375758,Spark plug
2019-02-24,11.767709509224785,Spark plug
2019-03-03,14.515497304983727,Spark plug
2019-03-10,23.91033767137416,Spark plug
2019-03-17,7.273028819462112,Spark plug
2019-03-24,12.850712457332731,Spark plug
2019-03-31,9.317371365012072,Spark plug
2019-01-13,3.6273751006078747,Sprocket bearing
2019-01-20,1.87813351157157,Sprocket bearing
2019-01-27,4.155615500608795,Sprocket bearing
2019-02-03,2.3944622618475364,Sprocket bearing
2019-02-10,1.710292613639134,Sprocket bearing
2019-02-17,5.380563879513209,Sprocket bearing
2019-02-24,2.1199073427709405,Sprocket bearing
2019-03-03,5.454917421653624,Sprocket bearing
2019-03-10,3.0515639070433904,Sprocket bearing
2019-03-17,2.4065594793180547,Sprocket bearing
2019-03-24,4.086338145582704,Sprocket bearing
2019-03-31,2.112078568865216,Sprocket bearing
2019-01-13,15.923783683074483,Sprocket rubber
2019-01-20,48.250628530820904,Sprocket rubber
2019-01-27,78.27347078897314,Sprocket rubber
2019-02-03,3.8876661522663998,Sprocket rubber
2019-02-10,27.299949902449363,Sprocket rubber
2019-02-17,25.501280720925816,Sprocket rubber
2019-02-24,59.039793065336255,Sprocket rubber
2019-03-03,240.3850799918546,Sprocket rubber
2019-03-10,24.128223862604262,Sprocket rubber
2019-03-17,68.71587351009262,Sprocket rubber
2019-03-24,23.906188137330812,Sprocket rubber
2019-03-31,16.36356636519521,Sprocket rubber
2019-01-13,1.9031710892280485,Tank cover
2019-01-20,0.5830436405289159,Tank cover
2019-01-27,2.6107006186775426,Tank cover
2019-02-03,1.4772385059754969,Tank cover
2019-02-10,1.418282328367527,Tank cover
2019-02-17,1.7165634539570669,Tank cover
2019-02-24,0.6846707936675154,Tank cover
2019-03-03,2.7116376926784853,Tank cover
2019-03-10,2.2212768611060527,Tank cover
2019-03-17,2.1016747266597213,Tank cover
2019-03-24,2.038690877469596,Tank cover
2019-03-31,0.4349509038079238,Tank cover
